MHK,AMW
POB,TNT
ANC,MIA
TUL,MIA
MIA,OPF
OPF,MIA
HKY,OPF
ROA,OPF
LCK,MIA
TNT,TNT
YUM,MIA
BYH,MIA
PBI,OPF
PVD,OPF
MHT,MIA
LBB,MIA
HIK,MIA
CAE,OPF
SFB,MIA
MEM,OPF
TUS,MIA
MLU,MIA
MWA,MIA
AEX,OPF
PGV,MIA
CKB,MIA
ABY,MIA
RNO,MIA
FLL,TNT
LIT,MIA
IAH,OPF
ISO,MIA
GRK,MIA
LEX,OPF
NPA,MIA
AEX,MIA
MCF,MIA
WRB,MIA
DAL,MIA
TUP,MIA
SGF,MIA
ILN,MIA
PIB,MIA
SWO,MIA
CID,MIA
XNA,MIA
ACY,MIA
CRP,MIA
LCH,MIA
CLL,MIA
NJK,MIA
PDX,MIA
ALO,MIA
PWM,MIA
VLD,MIA
AVP,MIA
ABE,MIA
BWI,OPF
RIV,MIA
BIF,MIA
DYS,MIA
COU,MIA
LSF,MIA
PAH,MIA
OAK,MIA
MSN,MIA
LAN,MIA
MSO,MIA
EYW,MPB
GPT,MIA
CHO,MIA
OKC,OPF
SCE,MIA
DMA,MIA
TOL,MIA
CWA,MIA
ACT,MIA
OCF,OPF
ERI,MIA
DAY,OPF
ADS,MIA
LRD,MIA
DAL,OPF
AFW,MIA
MIE,MIA
HUF,MIA
MSY,OPF
FSD,MIA
SHV,MIA
BRO,MIA
ILM,MIA
YNG,MIA
SBN,MIA
POB,MIA
NEW,MIA
MSP,OPF
ATL,OPF
YIP,OPF
LSE,MIA
LAF,MIA
SVN,MIA
BKL,MIA
CLT,OPF
SUS,MIA
MHK,MIA
FTW,MIA
PUB,MIA
GYY,MIA
RDU,OPF
BFI,MIA
ORL,MIA
MCO,OPF
NIP,MIA
NZC,MIA
FXE,MIA
FLL,OPF
FLL,MPB
BWG,MIA
RFD,MIA
NBG,MIA
TCL,MIA
AGS,MIA
ELP,MPB
OAK,OPF
CSG,MIA
SDM,MIA
MXF,MIA
TPA,OPF
LRD,MPB
TCM,MIA
SSC,MIA
TOL,OPF
OPF,OPF
GYY,OPF
LRD,OPF
HLN,MIA
IND,OPF
SHV,OPF
BAD,MIA
ILG,MIA
ABQ,OPF
PHL,OPF
FLL,TMB
JST,MIA
LUK,MIA
